name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;684;0;1030;3061;1380;3061;941;0
header;141;143;141;189;1759;189;1759;143
A;937;212;937;239;956;239;956;212
A;771;671;771;676;776;676;776;671
D;969;798;969;825;1003;825;1003;798
B;907;807;907;822;915;822;915;807
B;940;894;940;919;958;919;958;894
A;975;1171;975;1186;983;1186;983;1171
C;935;1557;935;1584;955;1584;955;1557
A;975;2294;975;2302;982;2302;982;2294
D;941;2325;941;2351;961;2351;961;2325
B;1279;2605;1279;2619;1300;2619;1300;2605
B;1009;2609;1009;2624;1029;2624;1029;2609
