name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;256;0;462;3055;1073;3055;1050;0
header;218;203;218;236;1839;236;1839;203
A;1015;265;1015;294;1039;294;1039;265
A;351;586;351;587;352;587;352;586
A;779;734;779;741;786;741;786;734
A;661;906;661;908;662;908;662;906
B;1021;933;1021;959;1040;959;1040;933
C;1019;1594;1019;1623;1040;1623;1040;1594
A;985;1905;985;1906;985;1906;985;1905
D;1025;2278;1025;2307;1045;2307;1045;2278
B;665;2287;665;2301;673;2301;673;2287
B;419;2422;419;2437;427;2437;427;2422
D;575;2459;575;2485;608;2485;608;2459
A;533;2468;533;2483;541;2483;541;2468
B;932;2515;932;2531;940;2531;940;2515
A;549;2683;549;2691;556;2691;556;2683
B;815;2761;815;2775;835;2775;835;2761
B;955;2761;955;2777;976;2777;976;2761
A;1045;2983;1045;2986;1053;2986;1053;2983
